Feature,Category,zigttp,Deno,Notes
ES5 Strict,Language,full,full,All runtimes support ES5 strict mode
ES6 (let/const/arrow),Language,full,full,Basic ES6 features
ES6 (for-of/destructure),Language,full,full,Iterator support
ES6 (classes),Language,partial,full,zigttp: basic class support
ES6 (Promises),Language,none,full,zigttp: sync-only model
ES2020+ (optional chaining),Language,none,full,zigttp: not implemented
TypeScript,Language,strip-only,native,zigttp: strips types at parse time
JSX,Language,native,transpile,zigttp: native SSR transform
TSX,Language,native,transpile,zigttp: combined TS strip + JSX
HTTP Server,API,native,Deno.serve,Both have native servers
Request/Response,API,native,native,zigttp: Fetch-compatible API
fetch(),API,basic,native,zigttp: basic implementation
console.log,API,full,full,Both support console
setTimeout,API,partial,full,zigttp: basic timers
File System,API,partial,Deno.*,zigttp: Deno.readTextFile only
Crypto,API,none,crypto,zigttp: not implemented
WebSocket,API,none,native,zigttp: not implemented
Streams,API,none,full,zigttp: not implemented
URL/URLSearchParams,API,basic,full,zigttp: basic parsing
JSON,API,full,full,Both support JSON.parse/stringify
npm packages,Ecosystem,none,compat,zigttp: no module system
ESM imports,Ecosystem,none,full,zigttp: single-file handlers
Binary Size,Deployment,~4MB,~100MB+,zigttp: single static binary
Cold Start,Deployment,<1ms,30-50ms,zigttp: no JIT warmup
Memory Baseline,Deployment,~1MB,~30MB,Approximate idle RSS
Request Isolation,Runtime,RuntimePool,isolate,zigttp: per-request context
GC Model,Runtime,generational,V8,zigttp: SIMD-accelerated sweep
Async Model,Runtime,sync,event-loop,zigttp: synchronous handlers
